# VOTING_WINDOW [53794570,53804570]  (inclusive)
validator_owner,validator_ad_app_id,status,delegators,total_yes,total_no,total_none,last_in_window_round,validator_state
236NQRJ4MDCKUPEYCMQZC6SK7EKVXR4FFEP4NMKAMYLPAFM4NZ4WJBZH5Y,2721657726,UNKNOWN,0,0,0,0,,NOT_LIVE
2TF2ZATQWMQ27MDX2TYID2VCE5A36E7T4JKBI3HN62QCWFDAXFIFKLIG54,3091608901,UNKNOWN,0,0,0,0,,NOT_LIVE
3AQH2YUYNLCLLMZG7HYIFGELDEMXWDME7FKXW2MG3DBIN677YQZW7UBXHM,2744339625,UNKNOWN,0,0,0,0,,NOT_LIVE
3AQH2YUYNLCLLMZG7HYIFGELDEMXWDME7FKXW2MG3DBIN677YQZW7UBXHM,2792794638,UNKNOWN,0,0,0,0,,READY
3H3LCTWVSL4RM6LBJEMP5QJFT3SAEXGDZYVV2J332GICUDGQ6JI6QQO3WM,2722734347,UNKNOWN,0,0,0,0,,NOT_LIVE
3PBWUIQTGUHK7HJ5RY3H4GRDWHWKCY5RIRDV2RPU5HT4P2CVS4KTWJXD3Q,2920827073,UNKNOWN,0,0,0,0,,NOT_LIVE
3WBS6WRHEOEMB7NI2KGVAKE6N5IZN654ISO5VSVSOYHVGFR2FAUNSCHIME,3085179703,UNKNOWN,0,0,0,0,,READY
45E6ZOPC3NVVCXRKM6MEI6OGAPBIRIQSNMS3HUQSPVILBRNRBO6TPKKPCM,2805114946,UNKNOWN,0,0,0,0,,READY
45E6ZOPC3NVVCXRKM6MEI6OGAPBIRIQSNMS3HUQSPVILBRNRBO6TPKKPCM,3191721075,UNKNOWN,0,0,0,0,,READY
45E6ZOPC3NVVCXRKM6MEI6OGAPBIRIQSNMS3HUQSPVILBRNRBO6TPKKPCM,3191805227,UNKNOWN,0,0,0,0,,READY
4E5EH2XPNGVQNZCUVY4LYI3VCFP22V4UVRPZ2LIBG7X74I5FKJYPIO5XKI,2971114068,UNKNOWN,0,0,0,0,,READY
4K5PASM7GB4DMI6VUMKT5Z4XHOOYLYCHXGLLBCTLKMJ46YLNJQ3AS33UNQ,2738627665,UNKNOWN,0,0,0,0,,READY
5GTJ72U3CKW74IYZ3NO7CXWTCBKTZY242AG3WKD2LHXJAJYFUAFJBLZD2Q,2806377358,UNKNOWN,0,0,0,0,,NOT_READY
AAAAAAMSC2ZCGLC2WUQEHNPC6YSQUEB6FCYLTJWBJNE2DYUHW4KPBACDOE,2720233372,UNKNOWN,0,0,0,0,,NOT_LIVE
AAAAAAMSC2ZCGLC2WUQEHNPC6YSQUEB6FCYLTJWBJNE2DYUHW4KPBACDOE,2734861862,UNKNOWN,0,0,0,0,,NOT_LIVE
AAU2JWDWWFSNHD7RIJUTEOE4U3CHJ6DT3P6J4VQZLLYZ4TWVGTHYOKZKDY,2744205705,UNKNOWN,0,0,0,0,,NOT_LIVE
ACNFR3MFAYQ2BSVFTRRH5RCXAMFT4TQMASBLPCO7DXXAGICYPPZWRXTVBI,2741467979,UNKNOWN,0,0,0,0,,NOT_READY
BDWLEA46TXIDK4LITT5O5OJGDLDGAHYBFRWCPHMTUPNRJNJ66QRMZ2CWCQ,2727380096,UNKNOWN,0,0,0,0,,NOT_LIVE
BSQY33HDGQVFNNHHIS45JZZ6DPW3KOYJVS6FFBKC6BCKPDH46G7GH576UA,2771081651,UNKNOWN,0,0,0,0,,NOT_READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3118126290,UNKNOWN,0,0,0,0,,READY
